City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,waitangi,-43.9535,-176.5597,10.46,78,100,5.05,NZ,1686510169
1,remire-montjoly,4.9167,-52.2667,26.02,89,75,3.09,GF,1686510170
2,georgetown,5.4112,100.3354,28.96,87,20,0.51,MY,1686510029
3,egilsstadir,65.2653,-14.3948,18.95,26,0,6.17,IS,1686510170
4,margaret river,-33.95,115.0667,13.68,60,100,6.61,AU,1686510170
5,tual,-5.6667,132.75,27.14,80,81,7.78,ID,1686510170
6,troitsko-pechorsk,62.7084,56.1964,3.08,68,45,3.95,RU,1686510170
7,new norfolk,-42.7826,147.0587,9.4,82,100,0.45,AU,1686510170
8,fort bragg,35.139,-79.006,31.78,35,40,4.12,US,1686510110
9,yuzhno-kurilsk,44.0306,145.8556,11.26,99,100,3.63,RU,1686510171
10,nelson bay,-32.7167,152.15,12.78,98,98,2.24,AU,1686510171
11,saudarkrokur,65.7461,-19.6394,13.21,49,10,8.03,IS,1686510171
12,port-aux-francais,-49.35,70.2167,5.37,87,100,17.83,TF,1686510171
13,port mathurin,-19.6833,63.4167,25.03,70,4,9.16,MU,1686510074
14,olonkinbyen,70.9221,-8.7187,1.66,95,100,6.44,SJ,1686510172
15,bethel,41.3712,-73.414,29.47,51,0,3.6,US,1686510172
16,grytviken,-54.2811,-36.5092,-2.07,86,69,5.38,GS,1686510172
17,polyarnyy,69.1989,33.4478,15.81,49,94,4.47,RU,1686510172
18,petropavlovsk-kamchatsky,53.0452,158.6483,6.33,76,0,4.0,RU,1686510172
19,enewetak,11.3474,162.3373,27.78,80,97,8.0,MH,1686510173
20,ende,-8.8432,121.6623,23.25,86,88,1.15,ID,1686510173
21,isyangulovo,52.1909,52.1909,14.05,52,100,9.05,RU,1686510173
22,oranjemund,-28.55,16.4333,13.96,79,3,4.22,NA,1686510173
23,puerto natales,-51.7236,-72.4875,6.25,56,75,7.2,CL,1686510077
24,ilulissat,69.2167,-51.1,1.01,93,100,1.54,GL,1686510173
25,vallenar,-28.5708,-70.7581,17.96,49,0,4.22,CL,1686510002
26,qashyr,53.0675,76.1036,18.19,48,1,3.25,KZ,1686510174
27,papatowai,-46.5619,169.4708,9.23,83,71,4.8,NZ,1686510174
28,tiksi,71.6872,128.8694,-0.59,98,100,7.07,RU,1686510174
29,albany,42.6001,-73.9662,28.84,48,100,3.23,US,1686510056
30,blackwater,-23.5833,148.8833,13.71,87,6,2.74,AU,1686510174
31,adamstown,-25.066,-130.1015,20.79,60,2,6.94,PN,1686509928
32,invercargill,-46.4,168.35,8.18,86,100,4.06,NZ,1686510174
33,upington,-28.4478,21.2561,16.21,23,0,3.6,ZA,1686510143
34,rupert,42.6191,-113.6772,23.99,46,68,2.86,US,1686510002
35,nar'yan-mar,67.6713,53.087,3.48,61,100,4.45,RU,1686510175
36,illizi,26.4833,8.4667,41.89,6,0,5.57,DZ,1686510175
37,leer,53.2316,7.461,24.99,74,10,4.28,DE,1686510175
38,bonthe,7.5264,-12.505,25.86,85,100,2.89,SL,1686510175
39,suva,-18.1416,178.4415,19.71,100,75,0.0,FJ,1686509913
40,hasaki,35.7333,140.8333,20.22,94,100,2.7,JP,1686510175
41,cabo san lucas,22.8909,-109.9124,33.67,33,0,3.6,MX,1686510176
42,ust-tsilma,65.441,52.1498,2.97,77,39,1.53,RU,1686510176
43,cedar city,37.6775,-113.0619,23.54,21,20,7.2,US,1686510176
44,tralee,52.2704,-9.7026,17.98,77,61,2.89,IE,1686510177
45,east london,-33.0153,27.9116,16.52,63,0,2.57,ZA,1686510177
46,nuuk,64.1835,-51.7216,4.34,93,100,7.6,GL,1686510177
47,puerto ayora,-0.7393,-90.3518,31.98,68,94,6.5,EC,1686510021
48,ust-nera,64.5667,143.2,15.75,63,100,4.17,RU,1686510177
